"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly"
11030,"Niel","Antwerpen","Flanders",2021,11,16.5333333333333,496
11030,"Niel","Antwerpen","Flanders",2021,12,9.41935483870968,292
11030,"Niel","Antwerpen","Flanders",2022,1,40.6129032258064,1259
11035,"Ranst","Antwerpen","Flanders",2020,9,1.76666666666667,53
11035,"Ranst","Antwerpen","Flanders",2020,10,8.61290322580645,267
11035,"Ranst","Antwerpen","Flanders",2020,11,3.93333333333333,118
11035,"Ranst","Antwerpen","Flanders",2020,12,2.54838709677419,79
11035,"Ranst","Antwerpen","Flanders",2021,1,3.29032258064516,102
11035,"Ranst","Antwerpen","Flanders",2021,2,2.53571428571429,71
11035,"Ranst","Antwerpen","Flanders",2021,3,3.74193548387097,116
11035,"Ranst","Antwerpen","Flanders",2021,4,3.23333333333333,97
11035,"Ranst","Antwerpen","Flanders",2021,5,3.64516129032258,113
11035,"Ranst","Antwerpen","Flanders",2021,6,1.36666666666667,41
11035,"Ranst","Antwerpen","Flanders",2021,7,2.58064516129032,80
11035,"Ranst","Antwerpen","Flanders",2021,8,2.58064516129032,80
11035,"Ranst","Antwerpen","Flanders",2021,9,2.1,63
11035,"Ranst","Antwerpen","Flanders",2021,10,10.0322580645161,311
11035,"Ranst","Antwerpen","Flanders",2021,11,25.1666666666667,755
11035,"Ranst","Antwerpen","Flanders",2021,12,13.3225806451613,413
11035,"Ranst","Antwerpen","Flanders",2022,1,57.9354838709677,1796
11037,"Rumst","Antwerpen","Flanders",2020,9,1.73333333333333,52
11037,"Rumst","Antwerpen","Flanders",2020,10,7.12903225806452,221
11037,"Rumst","Antwerpen","Flanders",2020,11,5.26666666666667,158
11037,"Rumst","Antwerpen","Flanders",2020,12,2.16129032258065,67
11037,"Rumst","Antwerpen","Flanders",2021,1,2.29032258064516,71
11037,"Rumst","Antwerpen","Flanders",2021,2,1.92857142857143,54
11037,"Rumst","Antwerpen","Flanders",2021,3,4.06451612903226,126
11037,"Rumst","Antwerpen","Flanders",2021,4,3.43333333333333,103
11037,"Rumst","Antwerpen","Flanders",2021,5,2.12903225806452,66
11037,"Rumst","Antwerpen","Flanders",2021,6,1.06666666666667,32
11037,"Rumst","Antwerpen","Flanders",2021,7,2.03225806451613,63
11037,"Rumst","Antwerpen","Flanders",2021,8,1.51612903225806,47
11037,"Rumst","Antwerpen","Flanders",2021,9,2,60
11037,"Rumst","Antwerpen","Flanders",2021,10,4.87096774193548,151
11037,"Rumst","Antwerpen","Flanders",2021,11,27.4333333333333,823
11037,"Rumst","Antwerpen","Flanders",2021,12,11.9032258064516,369
11037,"Rumst","Antwerpen","Flanders",2022,1,49.4838709677419,1534
11038,"Schelle","Antwerpen","Flanders",2020,9,1.43333333333333,43
11038,"Schelle","Antwerpen","Flanders",2020,10,5.48387096774194,170
11038,"Schelle","Antwerpen","Flanders",2020,11,2.8,84
11038,"Schelle","Antwerpen","Flanders",2020,12,1.7741935483871,55
11038,"Schelle","Antwerpen","Flanders",2021,1,1.12903225806452,35
11038,"Schelle","Antwerpen","Flanders",2021,2,1.07142857142857,30
11038,"Schelle","Antwerpen","Flanders",2021,3,2.87096774193548,89
11038,"Schelle","Antwerpen","Flanders",2021,4,2.43333333333333,73
11038,"Schelle","Antwerpen","Flanders",2021,5,1.19354838709677,37
11038,"Schelle","Antwerpen","Flanders",2021,6,0.3,9
11038,"Schelle","Antwerpen","Flanders",2021,7,1.83870967741935,57
11038,"Schelle","Antwerpen","Flanders",2021,8,0.903225806451613,28
11038,"Schelle","Antwerpen","Flanders",2021,9,0.766666666666667,23
11038,"Schelle","Antwerpen","Flanders",2021,10,3.2258064516129,100
11038,"Schelle","Antwerpen","Flanders",2021,11,12.6666666666667,380
11038,"Schelle","Antwerpen","Flanders",2021,12,7.29032258064516,226
11038,"Schelle","Antwerpen","Flanders",2022,1,30.8387096774194,956
11039,"Schilde","Antwerpen","Flanders",2020,9,2.26666666666667,68
11039,"Schilde","Antwerpen","Flanders",2020,10,10.2258064516129,317
11039,"Schilde","Antwerpen","Flanders",2020,11,4.23333333333333,127
11039,"Schilde","Antwerpen","Flanders",2020,12,3.16129032258065,98
11039,"Schilde","Antwerpen","Flanders",2021,1,2.93548387096774,91
11039,"Schilde","Antwerpen","Flanders",2021,2,2.82142857142857,79
11039,"Schilde","Antwerpen","Flanders",2021,3,3.51612903225806,109
11039,"Schilde","Antwerpen","Flanders",2021,4,3.86666666666667,116
11039,"Schilde","Antwerpen","Flanders",2021,5,2.93548387096774,91
11039,"Schilde","Antwerpen","Flanders",2021,6,1.1,33
11039,"Schilde","Antwerpen","Flanders",2021,7,4.2258064516129,131
11039,"Schilde","Antwerpen","Flanders",2021,8,2.70967741935484,84
11039,"Schilde","Antwerpen","Flanders",2021,9,1.36666666666667,41
11039,"Schilde","Antwerpen","Flanders",2021,10,9.19354838709677,285
11039,"Schilde","Antwerpen","Flanders",2021,11,22.4333333333333,673
11039,"Schilde","Antwerpen","Flanders",2021,12,17.6774193548387,548
11039,"Schilde","Antwerpen","Flanders",2022,1,55.3225806451613,1715
11040,"Schoten","Antwerpen","Flanders",2020,9,3.46666666666667,104
11040,"Schoten","Antwerpen","Flanders",2020,10,14.741935483871,457
11040,"Schoten","Antwerpen","Flanders",2020,11,9.5,285
11040,"Schoten","Antwerpen","Flanders",2020,12,6.87096774193548,213
11040,"Schoten","Antwerpen","Flanders",2021,1,5.70967741935484,177
11040,"Schoten","Antwerpen","Flanders",2021,2,5.71428571428571,160
11040,"Schoten","Antwerpen","Flanders",2021,3,9.48387096774194,294
11040,"Schoten","Antwerpen","Flanders",2021,4,6.46666666666667,194
11040,"Schoten","Antwerpen","Flanders",2021,5,5.58064516129032,173
11040,"Schoten","Antwerpen","Flanders",2021,6,2,60
